product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
"Always In Motion Boxer 5""",PROD9270823_LULU,SAR,SAR 140.00,BUY,140.0,,"Men's On The Move, Root Lululemon, Men's Underwear, Seasonal, Sports Clothing for Men, Mens, Summer Shop, Under SAR 200, Travel Edit","men-activity-on-the-move, root-0, mens-underwear, edits, men-activity, men, summer-shop, under-200, travel-edit",UPV0909284,"Always In Motion Boxer 5""",True,lowStock,140.0,BLACK,Color-Black,XL
"Always In Motion Boxer 5""",PROD9270823_LULU,SAR,SAR 140.00,BUY,140.0,,"Men's On The Move, Root Lululemon, Men's Underwear, Seasonal, Sports Clothing for Men, Mens, Summer Shop, Under SAR 200, Travel Edit","men-activity-on-the-move, root-0, mens-underwear, edits, men-activity, men, summer-shop, under-200, travel-edit",UPV0903061,"Always In Motion Boxer 5""",True,inStock,70.0,HEATHERED CORE MEDIUM GREY,color-heathered-core-medium-grey,S
"Always In Motion Boxer 5""",PROD9270823_LULU,SAR,SAR 140.00,BUY,140.0,,"Men's On The Move, Root Lululemon, Men's Underwear, Seasonal, Sports Clothing for Men, Mens, Summer Shop, Under SAR 200, Travel Edit","men-activity-on-the-move, root-0, mens-underwear, edits, men-activity, men, summer-shop, under-200, travel-edit",UPV0898099,"Always In Motion Boxer 5""",True,inStock,140.0,TRUE NAVY,color-true-navy,L
"Always In Motion Boxer 5""",PROD9270823_LULU,SAR,SAR 140.00,BUY,140.0,,"Men's On The Move, Root Lululemon, Men's Underwear, Seasonal, Sports Clothing for Men, Mens, Summer Shop, Under SAR 200, Travel Edit","men-activity-on-the-move, root-0, mens-underwear, edits, men-activity, men, summer-shop, under-200, travel-edit",UPV1077034,"Always In Motion Boxer 5""",True,lowStock,140.0,WHITE,Color-White,M
"Always In Motion Boxer 5""",PROD9270823_LULU,SAR,SAR 140.00,BUY,140.0,,"Men's On The Move, Root Lululemon, Men's Underwear, Seasonal, Sports Clothing for Men, Mens, Summer Shop, Under SAR 200, Travel Edit","men-activity-on-the-move, root-0, mens-underwear, edits, men-activity, men, summer-shop, under-200, travel-edit",FUA0097874D,"Always In Motion Boxer 5""",True,lowStock,95.0,FOG GREEN,color-fog-green,XXL
"Softstreme High-Rise Short 4""",PROD11020341_LULU,SAR,SAR 380.00,BUY,380.0,,"Women's Matching Sets, Seasonal, Women's Loungewear, Summer Shop, The Spring Edit, Softstreme Collection, Women's Shorts, Root Lululemon, Women's Collections, Women's Summer Shop, Womens, The Pink Edit, Sports Clothing for Women, Travel Edit, Women's On the Move","women-collection-matching-sets, edits, women-collection-loungewear, summer-shop, the-spring-edit, softstreme-collection, womens-shorts, root-0, womens-collections, women-collections-summer-shop, women, the-pink-edit, womens-activity, travel-edit, women-activity-on-the-move",UPV0988567,"Softstreme High-Rise Short 4""",True,inStock,380.0,BLACK,Color-Black,4
"Softstreme High-Rise Short 4""",PROD11020341_LULU,SAR,SAR 380.00,BUY,380.0,,"Women's Matching Sets, Seasonal, Women's Loungewear, Summer Shop, The Spring Edit, Softstreme Collection, Women's Shorts, Root Lululemon, Women's Collections, Women's Summer Shop, Womens, The Pink Edit, Sports Clothing for Women, Travel Edit, Women's On the Move","women-collection-matching-sets, edits, women-collection-loungewear, summer-shop, the-spring-edit, softstreme-collection, womens-shorts, root-0, womens-collections, women-collections-summer-shop, women, the-pink-edit, womens-activity, travel-edit, women-activity-on-the-move",FUA0099980D,"Softstreme High-Rise Short 4""",True,inStock,265.0,LIGHT IVORY,color-light-ivory,6
"Softstreme High-Rise Short 4""",PROD11020341_LULU,SAR,SAR 380.00,BUY,380.0,,"Women's Matching Sets, Seasonal, Women's Loungewear, Summer Shop, The Spring Edit, Softstreme Collection, Women's Shorts, Root Lululemon, Women's Collections, Women's Summer Shop, Womens, The Pink Edit, Sports Clothing for Women, Travel Edit, Women's On the Move","women-collection-matching-sets, edits, women-collection-loungewear, summer-shop, the-spring-edit, softstreme-collection, womens-shorts, root-0, womens-collections, women-collections-summer-shop, women, the-pink-edit, womens-activity, travel-edit, women-activity-on-the-move",FUA0098975D,"Softstreme High-Rise Short 4""",True,lowStock,265.0,LAVENDER FROST,color-lavender-frost,2
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",UPV0790062,"lululemon Align™ High-Rise Pant 25""",True,inStock,480.0,GRAPHITE GREY,color-graphite-grey,4
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",UPV0781853,"lululemon Align™ High-Rise Pant 25""",True,inStock,480.0,BLACK,Color-Black,12
