product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
Fleur Relaxed Fit Floral Shirt,M058SC_ALLS,AED,AED 650.00,BUY,650.0,BESTSELLER,"Bestseller, Shirts, Men, Casual, Clothing","men-bestseller, men-shirts, men, men-shirts-casual-shirts, men-clothing",FUA0084516D,Fleur Relaxed Fit Floral Shirt,True,lowStock,320.0,,WHITE,L
Fleur Relaxed Fit Floral Shirt,M058SC_ALLS,AED,AED 650.00,BUY,650.0,BESTSELLER,"Bestseller, Shirts, Men, Casual, Clothing","men-bestseller, men-shirts, men, men-shirts-casual-shirts, men-clothing",FUA0084517D,Fleur Relaxed Fit Floral Shirt,True,lowStock,320.0,,WHITE,XL
Fleur Relaxed Fit Floral Shirt,M058SC_ALLS,AED,AED 650.00,BUY,650.0,BESTSELLER,"Bestseller, Shirts, Men, Casual, Clothing","men-bestseller, men-shirts, men, men-shirts-casual-shirts, men-clothing",FUA0084513D,Fleur Relaxed Fit Floral Shirt,True,lowStock,320.0,,WHITE,XS
Cavarly Maxi Skirt,W072RC_ALLS,AED,AED 920.00,BUY,920.0,BESTSELLER,"Maxi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-maxi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0095165D,Cavarly Maxi Skirt,True,lowStock,920.0,,BLACK,UK 14/US 10
Cavarly Maxi Skirt,W072RC_ALLS,AED,AED 920.00,BUY,920.0,BESTSELLER,"Maxi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-maxi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0095166D,Cavarly Maxi Skirt,True,lowStock,920.0,,BLACK,UK 16/US 12
Cavarly Maxi Skirt,W072RC_ALLS,AED,AED 920.00,BUY,920.0,BESTSELLER,"Maxi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-maxi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0095167D,Cavarly Maxi Skirt,True,inStock,920.0,,SNOW WHITE,UK 6/US 2
Cavarly Maxi Skirt,W072RC_ALLS,AED,AED 920.00,BUY,920.0,BESTSELLER,"Maxi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-maxi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0095171D,Cavarly Maxi Skirt,True,lowStock,920.0,,SNOW WHITE,UK 14/US 10
Cavarly Maxi Skirt,W072RC_ALLS,AED,AED 920.00,BUY,920.0,BESTSELLER,"Maxi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-maxi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0095161D,Cavarly Maxi Skirt,True,lowStock,920.0,,BLACK,UK 6/US 2
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0094518D,Hanbury Straight Fit Trousers,True,inStock,665.0,,ODYSSEY BLUE,M
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0094519D,Hanbury Straight Fit Trousers,True,lowStock,665.0,,ODYSSEY BLUE,L
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0094520D,Hanbury Straight Fit Trousers,True,lowStock,665.0,,ODYSSEY BLUE,XL
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0094521D,Hanbury Straight Fit Trousers,True,lowStock,665.0,,ODYSSEY BLUE,XXL
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0093043D,Hanbury Straight Fit Trousers,True,lowStock,330.0,,RANGIFER BROWN,S
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0093046D,Hanbury Straight Fit Trousers,True,lowStock,330.0,,RANGIFER BROWN,XL
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0093045D,Hanbury Straight Fit Trousers,True,lowStock,330.0,,RANGIFER BROWN,L
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0093047D,Hanbury Straight Fit Trousers,True,lowStock,330.0,,RANGIFER BROWN,XXL
Hanbury Straight Fit Trousers,M038TC_ALLS,AED,AED 665.00,BUY,665.0,BESTSELLER,"Tailored, Bestseller, Trousers, Men, Clothing","men-trousers-tailored-trousers, men-bestseller, men-trousers, men, men-clothing",FUA0093044D,Hanbury Straight Fit Trousers,True,inStock,330.0,,RANGIFER BROWN,M
Leia Harley 2-in-1 Midi Dress,W172DC_ALLS,AED,"AED 1,290.00",BUY,1290.0,BESTSELLER,"Bestseller, 2-In-1 Dresses, Dresses, Clothing, Women","women-bestseller, women-dresses-2-in-one-dresses, women-dresses, women-clothing, women",FUA0094267D,Leia Harley 2-in-1 Midi Dress,True,lowStock,1290.0,,BLACK,M
Leia Harley 2-in-1 Midi Dress,W172DC_ALLS,AED,"AED 1,290.00",BUY,1290.0,BESTSELLER,"Bestseller, 2-In-1 Dresses, Dresses, Clothing, Women","women-bestseller, women-dresses-2-in-one-dresses, women-dresses, women-clothing, women",FUA0094271D,Leia Harley 2-in-1 Midi Dress,True,lowStock,900.0,,Chalk White,M
Breaker Short Sleeve T-Shirt,M032PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing","men-bestseller, men-t-shirts, men, men-clothing",FUA0094495D,Breaker Short Sleeve T-Shirt,True,lowStock,355.0,,Chalk White,L
Bandol Long Sleeve Relaxed Shirt,M160SC_ALLS,AED,AED 690.00,BUY,690.0,BESTSELLER,"Bestseller, Shirts, Men, Clothing","men-bestseller, men-shirts, men, men-clothing",FUA0095582D,Bandol Long Sleeve Relaxed Shirt,True,inStock,690.0,,WHITE,L
Bandol Long Sleeve Relaxed Shirt,M160SC_ALLS,AED,AED 690.00,BUY,690.0,BESTSELLER,"Bestseller, Shirts, Men, Clothing","men-bestseller, men-shirts, men, men-clothing",FUA0095581D,Bandol Long Sleeve Relaxed Shirt,True,inStock,690.0,,WHITE,M
Bandol Long Sleeve Relaxed Shirt,M160SC_ALLS,AED,AED 690.00,BUY,690.0,BESTSELLER,"Bestseller, Shirts, Men, Clothing","men-bestseller, men-shirts, men, men-clothing",FUA0100890D,Bandol Long Sleeve Relaxed Shirt,True,lowStock,690.0,,BLACK,L
Hettie Oversized Shacket,W095PC_ALLS,AED,AED 700.00,BUY,700.0,BESTSELLER,"Bestseller, Coats & Jackets, Co-ords, Clothing, Women","women-bestseller, women-coats-and-jackets, women-co-ords, women-clothing, women",FUA0095643D,Hettie Oversized Shacket,True,inStock,700.0,,SAND BROWN,M
Hettie Oversized Shacket,W095PC_ALLS,AED,AED 700.00,BUY,700.0,BESTSELLER,"Bestseller, Coats & Jackets, Co-ords, Clothing, Women","women-bestseller, women-coats-and-jackets, women-co-ords, women-clothing, women",FUA0095642D,Hettie Oversized Shacket,True,lowStock,700.0,,SAND BROWN,S
Underground Sleeveless Crew Neck T-Shirt,M038PC_ALLS,AED,AED 285.00,BUY,285.0,BESTSELLER,"Bestseller, T-Shirts, Men, Underground Men, Clothing","men-bestseller, men-t-shirts, men, underground-men, men-clothing",FUA0094979D,Underground Sleeveless Crew Neck T-Shirt,True,inStock,285.0,,BLACK,L
Cavarly Tiered Ruffle Maxi Dress,W206DC_ALLS,AED,"AED 1,190.00",BUY,1190.0,BESTSELLER,"Maxi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-maxi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0095291D,Cavarly Tiered Ruffle Maxi Dress,True,lowStock,1190.0,,BURNT BRICK RED,UK 10/US 6
Rach Floral Print Mini Dress,W107DC_ALLS,AED,AED 990.00,BUY,990.0,BESTSELLER,"Bestseller, Mini Dresses , Dresses, Clothing, Women","women-bestseller, women-dresses-mini-dresses, women-dresses, women-clothing, women",FUA0095052D,Rach Floral Print Mini Dress,True,lowStock,990.0,,BRIAR BLACK,UK 12/US 8
Hettie Oversized Denim Shacket,W095PD_ALLS,AED,AED 860.00,BUY,860.0,BESTSELLER,"Bestseller, Tops & Shirts, Tops, Clothing, Women","women-bestseller, women-tops-and-shirts, women-tops, women-clothing, women",FUA0096756D,Hettie Oversized Denim Shacket,True,lowStock,860.0,,ILLUSION INDIGO,S
Lil Midi Dress,W247DC_ALLS,AED,AED 820.00,BUY,820.0,BESTSELLER,"Midi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-midi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0096783D,Lil Midi Dress,True,lowStock,820.0,,BLACK,UK 6/US 2
